back_camera,front_camera,resolution_1,resolution_2,screen_size,battery,price,prebook,sales
13,20,720,1280,5.5,3000,319.2,410.625,1642.5
23,8,1080,1920,5.2,3300,307.8,405.985,1623.94
13,2.2,1080,1920,5,2330,307.8,408.085,1632.34
13,16,720,1280,5.5,3000,307.8,410.625,1642.5
13,2,1080,1920,5,2370,296.4,405.3975,1621.59
20,2,1080,1920,5,3000,296.4,405.7,1622.8
8,1,800,1280,9.4,6000,296.4,406.5025,1626.01
20,2.2,1080,1920,5.2,3200,296.4,406.5125,1626.05
13,5,1080,1920,5,3120,296.4,410.625,1642.5
12,8,1080,2160,6.9,5500,296.4,410.625,1642.5
16,16,1080,2280,6.3,3260,296.4,410.625,1642.5
13,8,720,1280,5,2550,296.4,410.625,1642.5
12,1.3,720,1280,4.55,1900,285,405.7325,1622.93
13,5,1080,1920,5.5,2600,285,405.94,1623.76
13,13,1080,1920,6,2930,285,406.445,1625.78
13,8,720,1280,5,2300,285,406.48,1625.92
21,13,1080,1920,5,2600,285,409.825,1639.3
8,5,720,1280,5.5,2500,285,410.3125,1641.25
21,16,1080,1920,6,2700,285,410.625,1642.5
12,4,1080,1920,5.15,3200,285,410.625,1642.5
8,2,720,1280,4.3,2000,285,410.625,1642.5
13,2,720,1280,4.3,2000,285,410.625,1642.5
13,4,1440,2560,5.7,3090,285,410.625,1642.5
16,24,720,1440,5.7,3000,285,410.625,1642.5
13,20,720,1280,5.5,3000,285,410.625,1642.5
13,8,720,1520,6.22,3260,285,410.625,1642.5
13,16,1080,2280,6.26,3260,285,410.625,1642.5
12,1.3,720,1280,4.3,1750,273.6,547.5,2190
8,5,1536,2048,7.9,6700,273.6,547.5,2190
16,4,1080,1920,5.15,3000,273.6,547.5,2190
23,13,1080,1920,5,2620,262.2,541.1925,2164.77
12,1.3,720,1280,4.3,1910,262.2,542.0975,2168.39
13,8,720,1280,5.5,3300,262.2,542.12,2168.48
12,1.3,720,1280,4.3,1750,262.2,546.9675,2187.87
13,1.1,720,1280,6,3000,262.2,546.98,2187.92
13,8,1080,1920,5,3080,262.2,547.5,2190
13,8,1080,1920,5,3080,262.2,547.5,2190
13,5,1080,1920,5.5,2600,250.8,546.6675,2186.67
13,5,1080,1920,5,3260,250.8,547.5,2190
20,20,1080,2160,5.99,3000,250.8,547.5,2190
12,1.3,720,1280,4.55,1900,239.4,541.35,2165.4
12,16,1080,1920,5.5,4500,239.4,547.5,2190
23,8,720,1280,5,2300,228,541.9725,2167.89
13,5,720,1280,5,2400,228,542.04,2168.16
13,8,720,1280,5,2300,228,546.7,2186.8
8,1.1,720,1280,5.3,2500,228,547.5,2190
12,20,1080,2160,5.99,4000,228,547.5,2190
12,5,1080,2280,5.84,4000,228,547.5,2190
12,5,1080,1920,6.44,5300,228,547.5,2190
13,2,1080,1920,5,3050,228,547.5,2190
13,5,720,1280,5.2,2730,228,547.5,2190
13,5,720,1520,6.22,3260,228,547.5,2190
13,16,720,1280,5.5,3000,228,547.5,2190
13,5,720,1280,5,2400,216.6,541.2475,2164.99
13,5,720,1280,5.5,2620,216.6,544.395,2177.58
8,1,800,1280,9.4,6000,216.6,547.0775,2188.31
8,5,720,1280,5.5,2500,216.6,547.5,2190
13,4,1080,1920,5.7,3000,216.6,547.5,2190
20,2.2,1080,1920,5.2,3100,205.2,541.29,2165.16
13,5,1200,1920,8,6000,205.2,547.5,2190
8,5,1536,2048,7.9,6190,205.2,547.5,2190
12,13,1080,2160,5.99,4000,205.2,547.5,2190
13,5,1080,1920,5.5,4000,205.2,547.5,2190
13,5,720,1280,5,4100,193.8,547.5,2190
13,5,1080,1920,5.5,4100,193.8,547.5,2190
13,5,1080,1920,5.5,4050,193.8,547.5,2190
12,5,1080,1920,5.5,3080,193.8,547.5,2190
13,5,720,1280,5.5,3000,193.8,547.5,2190
12,5,720,1440,5.7,3300,182.4,547.5,2190
13,5,720,1280,5.5,3100,182.4,547.5,2190
12,5,1080,2160,5.99,4000,182.4,547.5,2190
16,5,1080,1920,5.5,4050,182.4,547.5,2190
13,5,1080,1920,5.5,3060,182.4,547.5,2190
13,5,1080,1920,5,4100,182.4,547.5,2190
13,5,720,1280,5,4100,182.4,547.5,2190
13,16,720,1280,5.5,3000,182.4,547.5,2190
5,2,540,960,4.7,2300,171,539.875,2159.5
13,5,720,1280,5,2300,171,541.935,2167.74
12,16,720,1440,5.99,3080,171,547.5,2190
16,5,1080,1920,6.44,4850,171,547.5,2190
12,8,1080,1920,5.15,2860,171,547.5,2190
13,5,1080,1920,5.5,4100,171,547.5,2190
13,5,720,1280,5,4100,171,547.5,2190
13,5,720,1280,5.5,3100,159.6,547.5,2190
13,16,720,1280,5.5,3080,159.6,547.5,2190
13,5,720,1440,6,3360,159.6,547.5,2190
5,2,540,960,4.7,2300,148.2,546.8,2187.2
13,5,720,1280,5,4100,148.2,547.5,2190
8,2,720,1280,4.7,2200,148.2,547.5,2190
13,5,1080,1920,5.5,4100,148.2,547.5,2190
8,2,720,1280,4.7,2200,148.2,547.5,2190
13,5,720,1280,5,4100,148.2,547.5,2190
8,5,540,960,5,2350,148.2,547.5,2190
8,2,720,1280,4.7,2100,148.2,547.5,2190
5,2,540,960,5,2300,136.8,586.3975,2345.59
5,2,540,960,5,2300,136.8,592.2775,2369.11
13,5,720,1280,5,4100,136.8,593.125,2372.5
13,5,720,1280,5.5,3200,136.8,593.125,2372.5
12,5,720,1440,5.45,3000,136.8,593.125,2372.5
8,2,720,1280,4.7,2200,136.8,593.125,2372.5
5,2,480,854,4.5,1900,136.8,593.125,2372.5
8,5,540,960,5,2500,133.38,593.125,2372.5
13,5,720,1280,5,4100,125.4,593.125,2372.5
13,5,720,1280,5,3000,125.4,593.125,2372.5
5,2,480,854,4.5,1900,125.4,593.125,2372.5
13,5,720,1280,5,2000,125.4,593.125,2372.5
8,5,540,960,5,2500,118.56,593.125,2372.5
8,1.3,720,1280,4.7,2000,114,593.125,2372.5
8,2,720,1280,4.7,2200,114,593.125,2372.5
13,5,720,1280,5,2300,114,593.125,2372.5
8,5,540,960,4.7,2100,114,593.125,2372.5
13,5,720,1280,5.5,3080,102.6,593.125,2372.5
13,5,720,1440,5.45,3000,102.6,593.125,2372.5
8,1.6,720,1280,4.7,2000,102.6,593.125,2372.5
5,2,480,800,4,1700,79.8,593.125,2372.5
13,8,720,1280,5.2,2620,1.14,592.515,2370.06
